"User","Lookout","Thief #1","Thief #2"
"Barbarian","0","0","0"
"die_opfer","0","0","0"
"Senua","0","0","0"
"mexiee29","0","0","0"
"Mcrathe","0","0","0"
"Iamcosima","0","0","0"
"DarkFion","0","0","0"
"Kainaan87","0","0","0"
"LostMaster","89","88","0"
"Grindspawn","0","0","0"
"Iamkaylle90","0","0","0"
"uluxium","0","0","0"
"TJNoakes","0","0","0"
"DurianG","0","0","0"
"Thepartisan","0","0","0"
"amayia","0","0","0"
"Tadpole0912","0","0","0"
"TheBakerGirl","0","0","0"
"LilLoaf","0","0","0"
"BZNelson726","0","0","0"
"Syjren","0","0","0"
"Jaly","0","0","0"
"Ferrousbuns","0","0","0"
"thikool","0","91","0"
"Frost2211","0","0","0"
"EcoWarrior","0","0","0"
"BuilderSkully","71","64","0"
"OperadorEquis","0","0","0"
"MaxxLethal","0","0","0"
"TheDonsPizzeria","0","0","0"
"GubtumboTheWise","0","0","0"
"GlennnSeaborg","0","0","0"
"XISTO","0","0","0"
"DexJoo","0","0","0"
"Knetterkeesnl","0","0","0"
